Name,Building,Doc Type
CTY_VocationalTechnologyCenter-Vol1_Manual_20100507_1of3.pdf,Career Technology Center,O&M Manual
CTY_VocationalTechonologyCenter-Vol1_Manual_20100507_2of3.pdf,Business Technology,O&M Manual
CTY_VocationalTechnologyCenter-Vol1_Manual_20100507_3of3.pdf,Career Technology Center,O&M Manual
CTY_TAB_Report_20100618.pdf,Career Technology Center,Report-Other
CTY_SoilExcavationMonitoring_Report_20090604.pdf,Career Technology Center,Report-Geotech
CTY_OperablePanelPartitions_Submittal_20080905.pdf,Career Technology Center,Submittal/Shop Dwg
CTY_FuelFiredWaterHeater_Submittal_20080121.pdf,Career Technology Center,Submittal/Shop Dwg
CTY_SwitchboardsMotorControlEquipment_Manual_20091008.pdf,Physical Education (P1),O&M Manual
CTY_SplitSystemAC_Manual_20091112.pdf,Physical Education (P1),O&M Manual
CTY_RooftopAC_Manual_20091112.pdf,Physical Education (P1),O&M Manual
CTY_PowerVentilators_Manual_20091112.pdf,Physical Education (P1),O&M Manual
CTY_LightingControl_Manual_20091112.pdf,Physical Education (P1),O&M Manual
CTY_IndirectGasFiredUnits_Manual_20091112.pdf,Physical Education (P1),O&M Manual
CTY_CentralPlantUpgrade_DSAApproved_20110406.pdf,Central Plant (U),Dwg-02 Permit
CTY_CentralPlantUpgrade_Specs_20110406.pdf,Central Plant (U),Spec-02 Permit
CTY_Geotechnical_Report_20061211.pdf,Career Technology Center,Report-Geotech
CTY_SmallScaleFloorPlans_20120803.pdf,Math & Social Science,Dwg-05 Other
11220_FrankSonPaving_2495_Warranty_20110104.pdf,Business Technology,Warranty
Alicia - nov5.docx,Migration,Report-Other
CTY_CityCollegeRenovation-F_DSAApproved_19930504.pdf,Academic Building (A),Dwg-02 Permit
CTY_A8Remodel-FacultySupport_AsBuilt_19800716.pdf,Academic Building (A),Dwg-03 AsBuilt/Record
CTY_A110-TenantImprovement_Drawing_19980813.pdf,Academic Building (A),Dwg-03 AsBuilt/Record
CTY_Addition-SanDiegoJuniorCollege-MEP_DSAApproved_19580902_3of3.pdf,Academic Building (A),Dwg-02 Permit
CTY_Addition-SanDiegoJuniorCollege-S_DSAApproved_19580902_2of3.pdf,Academic Building (A),Dwg-02 Permit
CTY_Addition-SanDiegoJuniorCollege-A_DSAApproved_19580902_1of3.pdf,Academic Building (A),Dwg-02 Permit
CTY_A109-AirHandlerReplacement_AsBuilt_20041124.pdf,Academic Building (A),Dwg-03 AsBuilt/Record
CTY_BiologyLabRemodel_AsBuilt_19850917.pdf,Academic Building (A),Dwg-03 AsBuilt/Record
CTY_BoilerRoomAlterations_AsBuilt_19630524.pdf,Academic Building (A),Dwg-03 AsBuilt/Record
CTY_CafeteriaBookstoreRemodel_AsBuilt_19780306.pdf,Academic Building (A),Dwg-03 AsBuilt/Record
CTY_EnrollmentCenterRemodel_AsBuilt_19820519.pdf,Academic Building (A),Dwg-03 AsBuilt/Record
CTY_A111-A112_AsBuilt_19821021.pdf,Academic Building (A),Dwg-03 AsBuilt/Record
CTY_FanCoilUnitReplacement_AsBuilt_20010806.pdf,Academic Building (A),Dwg-03 AsBuilt/Record
CTY_HeatingHotWaterPumpReplacement_AsBuilt_20040121.pdf,Academic Building (A),Dwg-03 AsBuilt/Record
CTY_A107-MainTelephoneConduit_Drawing_19900814.PDF,Academic Building (A),Dwg-03 AsBuilt/Record
CTY_NewFacultyOffices_Drawing_19900525.pdf,Academic Building (A),Dwg-03 AsBuilt/Record
CTY_A106-ReDuctingMechRoom_Drawing_19860724.pdf,Academic Building (A),Dwg-03 AsBuilt/Record
CTY_A203-A204-RemodelLifeScienceFacility-Ph1_Drawing_19890224.pdf,Academic Building (A),Dwg-03 AsBuilt/Record
CTY_A203-A204-RemodelLifeScienceFacility-Ph1_AsBuilt_19880324.pdf,Academic Building (A),Dwg-03 AsBuilt/Record
CTY_A203-A204-RemodelLifeScienceFacility-Ph1_Drawing_19890315.PDF,Academic Building (A),Dwg-03 AsBuilt/Record
CTY_RemodelFacultyOffices_AsBuilt_19740110.pdf,Academic Building (A),Dwg-03 AsBuilt/Record
CTY_CityCollegeRemodel-Ph3_DSAApproved_19780412.pdf,Academic Building (A),Dwg-02 Permit
CTY_CityCollegeRemodel-Ph3_AsBuilt_19780412.pdf,Academic Building (A),Dwg-03 AsBuilt/Record
CTY_Remodel-A114-A115-A221-A222_Record_19760122.pdf,Academic Building (A),Dwg-03 AsBuilt/Record
CTY_Remodeling-A1-A2-A16-A113-A114_Drawing_19661010.pdf,Academic Building (A),Dwg-03 AsBuilt/Record
CTY_A114-SplitSystemHeatPumpReplacement_AsBuilt_20050513.pdf,Academic Building (A),Dwg-03 AsBuilt/Record
CTY_ExhaustFanReplacement-FireSuppressionSystems_AsBuilt_20040517.pdf,College Center (D),Dwg-03 AsBuilt/Record
CTY_AirHandlingEquipmentReplacement_Drawing_20010201.pdf,College Center (D),Dwg-03 AsBuilt/Record
